raceId,round,name,surname,url_y,sprint_points,total_points,season_points
1055,4,Spanish Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,6.0,20.0
1056,5,Monaco Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,18.0,38.0
1057,6,Azerbaijan Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,4.0,42.0
1059,7,French Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,0.0,42.0
1058,8,Styrian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,8.0,50.0
1060,9,Austrian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,10.0,60.0
1061,10,British Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,8.0,68.0
1062,11,Hungarian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,15.0,83.0
1063,12,Belgian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,0.5,83.5
1064,13,Dutch Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,6.0,89.5
1065,14,Italian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,8.0,97.5
1066,15,Russian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,15.0,112.5
1067,16,Turkish Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,4.0,116.5
1069,17,United States Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,6.0,122.5
1070,18,Mexico City Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,8.0,130.5
1071,19,São Paulo Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,1.0,9.0,138.5
1051,20,Qatar Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,6.0,144.5
1072,21,Saudi Arabian Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,4.0,148.5
1073,22,Abu Dhabi Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,15.0,163.5
1052,1,Bahrain Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,12.0,12.0
1053,2,Emilia Romagna Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,15.0,27.0
1054,3,Portuguese Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,10.0,37.0
1055,4,Spanish Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,4.0,41.0
1056,5,Monaco Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,15.0,56.0
1057,6,Azerbaijan Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,10.0,66.0
1059,7,French Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,10.0,76.0
1058,8,Styrian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,10.0,86.0
1060,9,Austrian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,15.0,101.0
1061,10,British Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,12.0,113.0
1062,11,Hungarian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,0.0,113.0
1063,12,Belgian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,0.0,113.0
1064,13,Dutch Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,1.0,114.0
1065,14,Italian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,18.0,132.0
1066,15,Russian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,7.0,139.0
1067,16,Turkish Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,6.0,145.0
1069,17,United States Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,4.0,149.0
1070,18,Mexico City Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,1.0,150.0
1071,19,São Paulo Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,1.0,151.0
1051,20,Qatar Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,2.0,153.0
1072,21,Saudi Arabian Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,1.0,154.0
1073,22,Abu Dhabi Grand Prix,Norris,http://en.wikipedia.org/wiki/Lando_Norris,0.0,6.0,160.0
1052,1,Bahrain Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,8.0,8.0
1053,2,Emilia Romagna Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,20.0
1054,3,Portuguese Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,8.0,28.0
1055,4,Spanish Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,40.0
1056,5,Monaco Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,0.0,40.0
1057,6,Azerbaijan Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,52.0
1059,7,French Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,0.0,52.0
1058,8,Styrian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,6.0,58.0
1060,9,Austrian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,4.0,62.0
1061,10,British Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,18.0,80.0
1062,11,Hungarian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,0.0,80.0
1063,12,Belgian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,2.0,82.0
1064,13,Dutch Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,10.0,92.0
1065,14,Italian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,104.0
1066,15,Russian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,0.0,104.0
1067,16,Turkish Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,116.0
1069,17,United States Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,12.0,128.0
1070,18,Mexico City Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,10.0,138.0
1071,19,São Paulo Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,10.0,148.0
1051,20,Qatar Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,4.0,152.0
1072,21,Saudi Arabian Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,6.0,158.0
1073,22,Abu Dhabi Grand Prix,Leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,0.0,1.0,159.0
1052,1,Bahrain Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,6.0,6.0
1053,2,Emilia Romagna Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,8.0,14.0
1054,3,Portuguese Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,2.0,16.0
1055,4,Spanish Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,8.0,24.0
1056,5,Monaco Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,24.0
1057,6,Azerbaijan Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,2.0,26.0
1059,7,French Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,8.0,34.0
1058,8,Styrian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,34.0
1060,9,Austrian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,6.0,40.0
1061,10,British Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,10.0,50.0
1062,11,Hungarian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,50.0
1063,12,Belgian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,6.0,56.0
1064,13,Dutch Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,56.0
1065,14,Italian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,1.0,27.0,82.0
1066,15,Russian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,12.0,94.0
1067,16,Turkish Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,94.0
1069,17,United States Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,10.0,104.0
1070,18,Mexico City Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,104.0
1071,19,São Paulo Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,104.0
1051,20,Qatar Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,104.0
1072,21,Saudi Arabian Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,10.0,114.0
1073,22,Abu Dhabi Grand Prix,Ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,0.0,0.0,114.0
1052,1,Bahrain Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,0.0
1053,2,Emilia Romagna Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,6.0,6.0
1054,3,Portuguese Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,1.0,7.0
1055,4,Spanish Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,1.0,8.0
1056,5,Monaco Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,8.0,16.0
1057,6,Azerbaijan Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,15.0,31.0
1059,7,French Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,6.0,37.0
1058,8,Styrian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,37.0
1060,9,Austrian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,2.0,39.0
1061,10,British Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,39.0
1062,11,Hungarian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,11.0,50.0
1063,12,Belgian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,4.0,54.0
1064,13,Dutch Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,12.0,66.0
1065,14,Italian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,66.0
1066,15,Russian Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,66.0
1067,16,Turkish Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,8.0,74.0
1069,17,United States Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,0.0,74.0
1070,18,Mexico City Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,12.0,86.0
1071,19,São Paulo Grand Prix,Gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,0.0,6.0,92.0
